kernel,C,gamma,accuracy,comp time
linear,1.0,0.1,92.76315789473684,35.24357604980469
linear,1.0,0.5,92.89473684210526,38.86884045600891
linear,1.0,1.0,92.96052631578948,42.140209913253784
linear,1.0,10.0,92.76315789473684,51.88957381248474
linear,1.0,100.0,93.35526315789474,55.80071997642517
linear,10.0,0.01,92.82894736842105,37.08896064758301
linear,10.0,0.1,92.96052631578948,45.68294835090637
linear,10.0,0.5,92.96052631578948,50.26655077934265
linear,10.0,1.0,92.76315789473684,59.90897226333618
linear,10.0,10.0,93.35526315789474,56.54049777984619
linear,10.0,100.0,93.15789473684211,49.481229305267334
linear,100.0,0.01,92.96052631578948,38.45139670372009
linear,100.0,0.1,92.76315789473684,48.2599036693573
linear,100.0,0.5,93.28947368421052,47.72465777397156
linear,100.0,1.0,93.28947368421052,50.78963041305542
linear,100.0,10.0,93.15789473684211,51.15559101104736
linear,100.0,100.0,93.22368421052632,58.66994547843933
linear,1000.0,0.01,92.76315789473684,48.05888533592224
linear,1000.0,0.1,93.28947368421052,51.92317342758179
linear,1000.0,0.5,93.09210526315789,58.06923794746399
linear,1000.0,1.0,93.15789473684211,53.15627932548523
linear,1000.0,10.0,93.22368421052632,59.23838925361633
linear,1000.0,100.0,93.22368421052632,61.66501259803772
linear,10000.0,0.01,93.35526315789474,53.337411880493164
linear,10000.0,0.1,93.15789473684211,56.37716507911682
linear,10000.0,0.5,93.22368421052632,59.160454750061035
linear,10000.0,1.0,93.22368421052632,63.876760959625244
linear,10000.0,10.0,93.22368421052632,66.96269249916077
linear,10000.0,100.0,93.22368421052632,88.06643581390381
linear,100000.0,0.01,93.15789473684211,79.72436261177063
linear,100000.0,0.1,93.22368421052632,77.55840063095093
linear,100000.0,0.5,93.22368421052632,74.90581941604614
linear,100000.0,1.0,93.22368421052632,71.13193607330322
linear,100000.0,10.0,93.22368421052632,107.34744691848755
linear,100000.0,100.0,93.22368421052632,154.06853532791138
sigmoid,0.001,0.0003245699448231094,39.4078947368421,26.423773050308228
sigmoid,0.01,0.0003245699448231094,39.4078947368421,26.379422664642334
sigmoid,0.1,0.0003245699448231094,39.4078947368421,23.650040864944458
sigmoid,1.0,0.0003245699448231094,58.81578947368421,23.369786024093628
sigmoid,10.0,0.0003245699448231094,91.71052631578948,26.070467233657837
sigmoid,100.0,0.0003245699448231094,92.03947368421052,34.96463584899902
sigmoid,1000.0,0.0003245699448231094,92.76315789473684,39.23115086555481
sigmoid,10000.0,0.0003245699448231094,91.90789473684211,24.80409598350525
sigmoid,100000.0,0.0003245699448231094,91.84210526315789,23.291141748428345
